,event_time,user_id,article_id,watch_time,comment_count
1552179,2022-09-19T21:55:49.360970+09:00,ev7xpwF0SY6_CgUnrsCDC1,--zxacZcBe_wMdNoYxit_Q==,0,0
925362,2022-09-19T21:55:52.494680+09:00,ftOPoTnARx2vW38JlhnkMz,--zxacZcBe_wMdNoYxit_Q==,0,0
1316869,2022-09-19T21:56:21.380612+09:00,es6ACu7UTXO5uftg3cxSCu,--zxacZcBe_wMdNoYxit_Q==,0,0
2259020,2022-09-19T21:57:35.206850+09:00,fgf8j-hOTxKL2wg7TSCDZ8,--zxacZcBe_wMdNoYxit_Q==,0,0
1648669,2022-09-19T21:57:40.108466+09:00,c2TnccF7QLeXHPAyEbM4t-,--zxacZcBe_wMdNoYxit_Q==,0,0
1268579,2022-09-19T21:58:00.882411+09:00,caygCdMQRTafYDXltlULUI,--zxacZcBe_wMdNoYxit_Q==,0,0
1552160,2022-09-19T21:58:53.207353+09:00,ewVeHCF2SmOvsTiR0tv3yK,--zxacZcBe_wMdNoYxit_Q==,0,0
1407456,2022-09-19T21:59:33.165088+09:00,dngJxVMKTya-p-Q6ke49-e,--zxacZcBe_wMdNoYxit_Q==,0,0
2168431,2022-09-19T22:00:08.278809+09:00,dGyaOCGqSSqqFGKC21IrKo,--zxacZcBe_wMdNoYxit_Q==,98,0
1117929,2022-09-19T22:00:20.341709+09:00,eIkXZ2mGRGmwE5Gq2bNd8u,--zxacZcBe_wMdNoYxit_Q==,0,0
2451658,2022-09-19T22:01:07.436435+09:00,ezXt5xclRailHFT0ZWLS4c,--zxacZcBe_wMdNoYxit_Q==,0,0
1696509,2022-09-19T22:02:04.227163+09:00,eONgvK3LTHSRewj4V097X8,--zxacZcBe_wMdNoYxit_Q==,0,0
2045263,2022-09-19T22:02:47.999915+09:00,ejXnxzlQR2a2IAVCQOseld,--zxacZcBe_wMdNoYxit_Q==,109,0
1069568,2022-09-19T22:03:21.358212+09:00,d9-9iS6_TzyBufcI5SOADA,--zxacZcBe_wMdNoYxit_Q==,16,0
2451659,2022-09-19T22:04:15.555511+09:00,dXjmVmQPQGKTFNTH3XByMi,--zxacZcBe_wMdNoYxit_Q==,0,0
